"accepted_species","traits"
"sp120",1
"sp123",1
"sp130",0
"sp137",NA
"sp147",0
"sp151",1
"sp163",1
"sp166",0
"sp173",0
"sp176",1
"sp185",NA
"sp192",0
"sp195",0
"sp196",1
"sp201",NA
"sp202",0
"sp204",1
"sp207",1
"sp210",1
"sp212",0
"sp213",0
"sp214",1
"sp216",NA
"sp218",0
"sp219",1
"sp222",NA
"sp226",1
"sp227",1
"sp228",0
"sp232",1
"sp233",1
"sp234",1
"sp235",1
"sp237",1
"sp238",1
"sp239",1
"sp240",NA
"sp241",0
"sp243",1
"sp244",0
"sp246",0
"sp247",0
"sp250",1
"sp251",1
"sp252",1
"sp253",0
"sp254",1
"sp255",1
"sp257",0
"sp258",0
"sp259",1
"sp260",0
"sp263",1
"sp265",1
"sp266",1
"sp267",0
"sp268",1
"sp269",1
"sp270",1
"sp271",0
"sp272",0
"sp273",0
"sp274",0
"sp275",0
"sp276",0
"sp277",1
"sp278",NA
"sp279",1
"sp280",0
"sp281",0
"sp283",1
"sp284",1
"sp285",1
"sp286",1
"sp287",1
"sp288",1
"sp289",1
"sp290",1
"sp291",0
"sp292",0
"sp293",NA
"sp294",0
"sp295",0
"sp296",0
"sp297",0
"sp298",1
"sp300",1
"sp301",1
"sp302",1
"sp303",1
"sp304",1
"sp305",0
"sp307",0
"sp308",0
"sp309",NA
"sp310",0
"sp311",0
"sp312",NA
"sp313",1
"sp314",1
