"accepted_species","I1.1/1"
"t99","1"
"t100","1"
"t47","1"
"t83","1"
"t84","1"
"t67","1"
"t71","1"
"t72","1"
"t80","1"
"t33","1"
"t22","0"
"t56","1"
"t57","0"
"t1","0"
"t2","0"
"t18","0"
"t81","0"
"t82","0"
"t79","0"
"t13","0"
"t43","0"
"t44","0"
"t46","0"
"t89","0"
"t90","0"
"t55","0"
"t14","1"
"t27","1"
"t28","1"
"t7","0"
"t52","1"
"t93","1"
"t94","0"
"t58","1"
"t34","0"
"t97","1"
"t98","0"
"t73","0"
"t74","0"
"t23","1"
"t35","0"
"t41","0"
"t75","0"
"t76","0"
"t54","0"
"t85","0"
"t86","1"
"t70","1"
"t40","1"
"t68","1"
"t69","1"
"t12","1"
"t9","1"
"t8","1"
"t77","0"
"t78","0"
"t38","0"
"t39","1"
"t32","0"
"t59","0"
"t60","1"
"t61","1"
"t62","1"
"t49","0"
"t5","1"
"t19","0"
"t20","0"
"t24","0"
"t26","1"
"t4","0"
"t36","1"
"t37",NA
"t25",NA
"t15","0"
"t16","0"
"t91",NA
"t92","0"
"t87",NA
"t88","0"
"t53",NA
"t29",NA
"t65","1"
"t66",NA
"t95",NA
"t96",NA
"t48",NA
"t10","0"
"t11","0"
"t17","0"
"t30","0"
"t31","1"
"t6","0"
"t63","1"
"t64","1"
"t21","1"
"t42","1"
"t50","0"
"t51","0"
"t45","1"
"t3","0"
