"accepted_species","traits"
"sp58",1
"sp84",1
"sp98",1
"sp99",1
"sp102",0
"sp115",1
"sp122",1
"sp125",1
"sp129",1
"sp132",1
"sp135",0
"sp140",1
"sp142",0
"sp152",1
"sp155",0
"sp160",0
"sp162",1
"sp163",1
"sp167",1
"sp168",1
"sp169",1
"sp171",0
"sp172",1
"sp173",1
"sp175",0
"sp177",1
"sp180",1
"sp183",1
"sp185",0
"sp186",1
"sp188",1
"sp189",0
"sp190",1
"sp193",1
"sp196",1
"sp199",0
"sp200",1
"sp202",0
"sp203",1
"sp204",1
"sp205",1
"sp206",1
"sp207",1
"sp208",1
"sp209",1
"sp210",1
"sp212",1
"sp214",1
"sp215",0
"sp216",0
"sp217",1
"sp218",1
"sp219",1
"sp220",1
"sp222",1
"sp223",1
"sp224",1
"sp225",0
"sp226",1
"sp227",0
"sp228",1
"sp230",1
"sp232",0
"sp233",1
"sp234",1
"sp235",1
"sp236",0
"sp237",0
"sp238",0
"sp239",0
"sp240",1
"sp241",0
"sp242",0
"sp243",0
"sp244",1
"sp245",1
"sp247",0
"sp248",1
"sp249",1
"sp251",1
"sp252",1
"sp253",0
"sp254",1
"sp255",1
"sp256",1
"sp257",1
"sp258",1
"sp259",1
"sp260",0
"sp262",1
"sp263",1
"sp264",1
"sp265",1
"sp266",1
"sp267",1
"sp268",1
"sp269",1
"sp270",1
"sp271",1
"sp272",1
