"accepted_species","traits"
"t4",1
"t9",0
"t11",1
"t12",1
"t13",1
"t19",0
"t20",0
"t22",1
"t23",1
"t26",1
"t27",1
"t30",1
"t36",1
"t38",0
"t41",1
"t42",1
"t43",1
"t44",1
"t45",1
"t47",1
"t48",1
"t49",0
"t51",1
"t52",1
"t55",1
"t56",1
"t57",1
"t58",1
"t61",0
"t63",1
"t64",1
"t65",1
"t66",1
"t68",1
"t69",1
"t71",1
"t72",1
"t74",0
"t75",1
"t76",1
"t77",0
"t78",1
"t80",1
"t81",0
"t83",1
"t84",0
"t85",0
"t86",0
"t87",1
"t88",0
"t89",1
"t90",1
"t91",1
"t92",0
"t93",1
"t94",0
"t95",1
"t96",1
"t97",1
"t98",0
"t99",0
"t100",1
"t101",0
"t102",0
"t103",0
"t104",1
"t107",0
"t108",1
"t109",0
"t110",1
"t111",0
"t112",1
"t113",1
"t114",0
"t115",1
"t116",1
"t117",1
"t118",1
"t119",1
"t120",0
"t121",1
"t122",0
"t123",1
"t124",0
"t126",0
"t127",1
"t128",1
"t129",1
"t130",0
"t131",0
"t132",0
"t133",0
"t134",0
"t135",0
"t136",0
"t137",0
"t138",1
"t139",1
"t140",0
"t141",0
