"accepted_species","traits"
"sp11",0
"sp13",0
"sp25",0
"sp26",0
"sp29",0
"sp30",0
"sp33",0
"sp37",0
"sp38",1
"sp40",0
"sp45",0
"sp47",0
"sp50",0
"sp51",0
"sp53",0
"sp56",0
"sp57",0
"sp59",0
"sp60",0
"sp61",0
"sp62",0
"sp63",1
"sp65",0
"sp67",0
"sp69",0
"sp70",0
"sp71",0
"sp73",0
"sp75",1
"sp76",0
"sp78",0
"sp79",0
"sp80",0
"sp81",0
"sp83",0
"sp84",0
"sp85",0
"sp87",0
"sp89",0
"sp90",0
"sp91",0
"sp92",0
"sp93",0
"sp94",0
"sp95",0
"sp97",0
"sp98",0
"sp100",0
"sp101",0
"sp102",0
"sp103",0
"sp104",0
"sp105",0
"sp106",0
"sp107",0
"sp108",0
"sp109",0
"sp110",0
"sp112",0
"sp113",0
"sp115",0
"sp116",0
"sp117",0
"sp118",0
"sp121",0
"sp122",0
"sp123",0
"sp124",0
"sp125",0
"sp126",0
"sp127",0
"sp128",0
"sp129",0
"sp130",0
"sp131",0
"sp133",0
"sp134",0
"sp135",0
"sp136",0
"sp138",0
"sp139",0
"sp140",0
"sp141",0
"sp142",0
"sp143",0
"sp144",0
"sp145",0
"sp146",0
"sp147",0
"sp148",0
"sp149",0
"sp150",0
"sp151",0
"sp152",0
"sp153",1
"sp154",1
"sp155",0
"sp156",0
"sp157",0
"sp158",0
