"accepted_species","traits"
"t10",1
"t12",1
"t17",1
"t18",1
"t21",1
"t26",0
"t29",1
"t30",1
"t36",1
"t37",1
"t40",1
"t46",1
"t47",1
"t48",1
"t51",0
"t53",0
"t55",1
"t56",0
"t57",0
"t58",0
"t60",1
"t61",1
"t62",1
"t63",0
"t64",1
"t66",1
"t67",1
"t68",0
"t70",1
"t72",1
"t73",1
"t76",0
"t77",0
"t78",0
"t79",1
"t82",0
"t85",1
"t86",NA
"t87",1
"t88",0
"t89",1
"t90",1
"t91",1
"t93",1
"t94",1
"t95",1
"t96",NA
"t97",0
"t98",1
"t99",1
"t100",0
"t101",0
"t102",0
"t103",0
"t104",1
"t105",0
"t108",1
"t109",NA
"t110",1
"t111",1
"t112",1
"t113",1
"t114",1
"t116",1
"t117",NA
"t118",1
"t119",1
"t121",0
"t122",1
"t123",1
"t124",1
"t125",1
"t126",1
"t128",1
"t129",1
"t131",1
"t132",1
"t133",1
"t134",1
"t135",NA
"t136",NA
"t137",0
"t138",0
"t139",1
"t140",1
"t141",NA
"t142",NA
"t143",0
"t144",0
"t145",1
"t146",1
"t147",1
"t148",1
"t149",NA
"t150",NA
"t151",1
"t152",1
"t153",1
"t154",1
"t155",1
