"accepted_species","I1.1/1"
"t16","1"
"t17","0"
"t61","0"
"t62","1"
"t46","0"
"t47",NA
"t15","0"
"t87","0"
"t88","0"
"t40","0"
"t51","0"
"t52",NA
"t67","0"
"t97","0"
"t98","0"
"t37","0"
"t91","0"
"t92","1"
"t81","0"
"t82","0"
"t36","0"
"t59","0"
"t60","0"
"t50","0"
"t70","0"
"t71","0"
"t7","0"
"t24",NA
"t25","1"
"t72",NA
"t65","1"
"t66","1"
"t23","1"
"t19","1"
"t77","0"
"t78","0"
"t85","1"
"t86","1"
"t20","0"
"t27","1"
"t28","0"
"t13","0"
"t14","0"
"t35","0"
"t44","0"
"t45","0"
"t21","0"
"t26",NA
"t42","0"
"t93","0"
"t94","0"
"t9","0"
"t11","0"
"t12","0"
"t30","0"
"t31","0"
"t32","0"
"t99","0"
"t100","1"
"t73","1"
"t3","1"
"t41","0"
"t2",NA
"t69","0"
"t95","0"
"t96",NA
"t76","0"
"t74","1"
"t75","1"
"t8","0"
"t68","1"
"t33","0"
"t18","0"
"t89","1"
"t90","0"
"t53",NA
"t54","0"
"t22","1"
"t57","1"
"t58","0"
"t4","0"
"t34",NA
"t55","1"
"t56","1"
"t29","0"
"t79","1"
"t80","1"
"t83","0"
"t84","0"
"t63","1"
"t64","0"
"t38","0"
"t39","0"
"t48","0"
"t49","0"
"t43","1"
"t10","0"
"t5","0"
"t6","0"
"t1",NA
