"accepted_species","I1.1/1"
"t77","1"
"t78","1"
"t13","1"
"t91",NA
"t92",NA
"t86","0"
"t79",NA
"t23",NA
"t24",NA
"t82","0"
"t83",NA
"t26","0"
"t31",NA
"t39","0"
"t43","1"
"t44","1"
"t6","0"
"t9","0"
"t18","0"
"t17","0"
"t66",NA
"t67","0"
"t7","0"
"t8","0"
"t11","1"
"t12","0"
"t49","1"
"t50","1"
"t64",NA
"t65","0"
"t25","0"
"t51","1"
"t52","1"
"t22","0"
"t10","0"
"t4",NA
"t3","0"
"t72","0"
"t73","0"
"t80","0"
"t81","0"
"t36","0"
"t97","0"
"t98","0"
"t37","0"
"t2","0"
"t38","0"
"t89","0"
"t90","0"
"t62","1"
"t63","0"
"t59","1"
"t35","0"
"t21","0"
"t60","0"
"t61","0"
"t84","0"
"t85","0"
"t74","0"
"t32","1"
"t34","1"
"t68","1"
"t69","1"
"t5","0"
"t27","0"
"t28","0"
"t14","1"
"t15","1"
"t19","1"
"t20","0"
"t87","1"
"t88","1"
"t30","1"
"t75","1"
"t76","1"
"t53","0"
"t57","0"
"t58","0"
"t48","1"
"t41","1"
"t42","1"
"t99","1"
"t100","1"
"t45","1"
"t95","1"
"t96","0"
"t54","1"
"t70","1"
"t71","0"
"t29","1"
"t55","1"
"t56","0"
"t16","0"
"t1","1"
"t33","0"
"t46","1"
"t47","1"
"t40","1"
"t93","0"
"t94","0"
