"accepted_species","I1.1/1"
"t50","1"
"t51","0"
"t9","0"
"t10","0"
"t89","1"
"t90","0"
"t77",NA
"t78","1"
"t15","1"
"t27","0"
"t30","1"
"t31",NA
"t13","0"
"t72","1"
"t73","1"
"t69",NA
"t70",NA
"t85","0"
"t86","0"
"t38","1"
"t28",NA
"t29",NA
"t8",NA
"t49","1"
"t59","1"
"t71","1"
"t99",NA
"t100","0"
"t76","0"
"t46",NA
"t32",NA
"t33","1"
"t44","0"
"t45","1"
"t1","1"
"t39","1"
"t40","0"
"t6","1"
"t5","1"
"t95","0"
"t96","1"
"t16","0"
"t2","0"
"t34","0"
"t35","1"
"t74","1"
"t75","1"
"t7","0"
"t54","0"
"t55","1"
"t41","0"
"t42","0"
"t25","0"
"t87","1"
"t88","1"
"t14","0"
"t19","0"
"t36","0"
"t37","1"
"t93","1"
"t94","0"
"t52","0"
"t43","1"
"t4","1"
"t65","0"
"t66","0"
"t20","1"
"t3","1"
"t56","1"
"t57","0"
"t53","0"
"t81","0"
"t61","1"
"t62","0"
"t83","0"
"t84","1"
"t26","1"
"t48","0"
"t60","0"
"t79","0"
"t80","1"
"t58","0"
"t11","0"
"t12","1"
"t47","1"
"t97","1"
"t98","1"
"t63","0"
"t82","0"
"t64","1"
"t91","0"
"t92","1"
"t67","1"
"t68","0"
"t23","1"
"t24","0"
"t21","1"
"t22","0"
"t17","1"
"t18","1"
