"accepted_species","trait_BM_trend_scaled"
"t2",1
"t40",1
"t41",1
"t39",NA
"t145",0
"t146",0
"t46",NA
"t123",0
"t124",0
"t120",0
"t63",NA
"t57",0
"t27",1
"t28",0
"t20",1
"t149",0
"t150",NA
"t136",0
"t104",1
"t36",1
"t35",1
"t47",NA
"t48",0
"t78",1
"t82",NA
"t83",1
"t98",1
"t110",1
"t153",1
"t154",1
"t155",NA
"t79",NA
"t80",NA
"t33",0
"t52",1
"t92",1
"t121",1
"t122",NA
"t69",1
"t106",1
"t107",1
"t91",NA
"t61",0
"t62",0
"t147",0
"t148",NA
"t130",0
"t143",0
"t144",0
"t135",0
"t55",0
"t56",0
"t6",1
"t34",1
"t94",1
"t95",0
"t17",1
"t25",0
"t37",1
"t70",1
"t71",1
"t137",0
"t138",0
"t125",NA
"t60",NA
"t76",1
"t101",1
"t102",NA
"t12",1
"t13",0
"t21",1
"t88",0
"t89",0
"t65",0
"t105",0
"t116",1
"t117",1
"t90",0
"t139",0
"t140",0
"t151",0
"t152",0
"t93",1
"t10",0
"t29",0
"t30",0
"t44",0
"t58",0
"t59",0
"t96",0
"t97",0
"t22",0
"t23",0
"t11",0
"t74",0
"t75",0
"t84",0
"t85",0
"t99",0
"t131",0
"t132",0
"t133",0
"t134",0
"t86",0
"t87",0
"t64",0
"t26",0
"t103",0
"t128",1
"t129",1
"t81",1
"t18",0
"t32",0
"t53",0
"t54",0
"t43",0
"t19",0
"t24",0
"t118",0
"t119",0
"t141",0
"t142",0
"t113",0
"t16",0
"t5",1
"t8",1
"t9",1
"t7",1
"t72",1
"t73",1
"t111",0
"t112",0
"t100",0
"t31",0
"t67",0
"t68",0
"t45",0
"t114",1
"t115",1
"t77",1
"t49",1
"t38",1
"t108",1
"t109",1
"t126",1
"t127",1
"t66",1
"t42",1
"t50",1
"t51",0
"t14",1
"t15",1
"t4",1
"t3",1
"t1",1
