"accepted_species","I1.1/1"
"t64","1"
"t65","1"
"t3","0"
"t18","1"
"t80","0"
"t81","0"
"t73","1"
"t77","0"
"t78","1"
"t45","1"
"t28","0"
"t14","1"
"t11","0"
"t58","1"
"t59","0"
"t1","0"
"t2","0"
"t7","0"
"t46","0"
"t56","0"
"t57","0"
"t32","0"
"t16","0"
"t17","0"
"t8","0"
"t9","0"
"t42","0"
"t43","1"
"t6","1"
"t25","1"
"t26","1"
"t19","1"
"t93","0"
"t94","0"
"t13","1"
"t91","1"
"t92","1"
"t68","1"
"t47","0"
"t35","0"
"t36","0"
"t83","0"
"t84","0"
"t34","0"
"t85","1"
"t86",NA
"t69",NA
"t70","1"
"t49","1"
"t50","1"
"t95","1"
"t96",NA
"t15","1"
"t33",NA
"t40",NA
"t41",NA
"t79",NA
"t99","1"
"t100","1"
"t82",NA
"t24",NA
"t5",NA
"t55","1"
"t97","1"
"t98","1"
"t21","1"
"t38","0"
"t39","0"
"t29","1"
"t44","1"
"t87","1"
"t88","0"
"t67","1"
"t60","0"
"t61","1"
"t48","1"
"t51","0"
"t52","0"
"t20","0"
"t71","1"
"t72","1"
"t75","0"
"t76","0"
"t74","0"
"t62","0"
"t63","1"
"t4","0"
"t27","0"
"t89","1"
"t90","1"
"t10","0"
"t53","0"
"t54","1"
"t22","0"
"t23","0"
"t12","1"
"t30","1"
"t31","1"
"t37","0"
"t66","0"
