"accepted_species","trait_BM_trend_scaled"
"t1",1
"t13",1
"t25",1
"t26",1
"t123",1
"t124",1
"t57",1
"t35",1
"t71",1
"t72",1
"t45",1
"t85",1
"t86",1
"t81",1
"t82",1
"t40",1
"t106",1
"t109",NA
"t110",1
"t14",NA
"t21",1
"t66",1
"t67",1
"t113",1
"t114",NA
"t6",1
"t115",0
"t116",0
"t104",0
"t105",0
"t119",0
"t120",0
"t101",0
"t102",0
"t76",1
"t77",1
"t70",1
"t53",1
"t73",1
"t74",1
"t68",NA
"t69",1
"t117",1
"t118",1
"t37",0
"t38",0
"t60",0
"t61",1
"t17",1
"t3",1
"t4",1
"t89",1
"t90",1
"t32",0
"t111",1
"t112",1
"t78",0
"t79",NA
"t75",0
"t56",1
"t87",0
"t88",0
"t11",0
"t47",1
"t48",1
"t98",1
"t103",1
"t121",1
"t122",1
"t59",1
"t49",1
"t50",1
"t91",1
"t92",1
"t10",0
"t62",1
"t63",1
"t22",0
"t51",1
"t52",1
"t107",0
"t108",0
"t34",1
"t33",0
"t12",NA
"t2",0
"t15",1
"t27",1
"t43",1
"t44",1
"t20",1
"t23",0
"t93",0
"t94",0
"t39",0
"t24",0
"t28",1
"t96",1
"t97",0
"t95",0
"t80",1
"t9",1
"t58",0
"t83",NA
"t84",1
"t36",0
"t46",NA
"t64",1
"t65",NA
"t16",NA
"t5",1
"t18",0
"t19",0
"t54",1
"t55",1
"t41",1
"t8",0
"t7",NA
"t29",1
"t99",NA
"t100",1
"t42",1
"t30",1
"t31",1
