"accepted_species","traits"
"sp60",0
"sp67",0
"sp74",1
"sp76",0
"sp83",NA
"sp85",0
"sp86",0
"sp93",1
"sp94",NA
"sp96",1
"sp99",1
"sp103",0
"sp111",0
"sp113",1
"sp117",1
"sp119",1
"sp120",0
"sp122",0
"sp123",1
"sp124",1
"sp125",1
"sp127",1
"sp129",0
"sp130",1
"sp131",1
"sp133",1
"sp134",0
"sp135",0
"sp136",0
"sp137",1
"sp138",0
"sp139",0
"sp143",1
"sp145",1
"sp147",NA
"sp148",1
"sp149",1
"sp150",1
"sp151",1
"sp152",1
"sp153",NA
"sp154",1
"sp155",1
"sp157",0
"sp158",1
"sp159",1
"sp161",1
"sp163",1
"sp166",1
"sp167",0
"sp168",0
"sp169",0
"sp170",0
"sp171",0
"sp172",1
"sp173",0
"sp174",0
"sp176",NA
"sp177",0
"sp179",1
"sp180",0
"sp181",0
"sp182",0
"sp183",1
"sp184",1
"sp185",0
"sp186",1
"sp187",1
"sp188",1
"sp190",1
"sp191",1
"sp192",NA
"sp194",NA
"sp195",NA
"sp196",1
"sp197",0
"sp198",0
"sp199",0
"sp200",1
"sp201",1
"sp202",1
"sp203",1
"sp204",1
"sp205",1
"sp206",1
"sp207",1
"sp208",1
"sp209",1
"sp210",1
"sp211",1
"sp212",1
"sp213",1
"sp214",0
"sp215",0
"sp216",0
"sp217",0
"sp218",0
"sp219",0
"sp220",NA
"sp221",NA
