"accepted_species","I1.1/1"
"t18","0"
"t19","1"
"t6","0"
"t50","0"
"t51","0"
"t7","0"
"t9",NA
"t39",NA
"t40","0"
"t25","0"
"t11","0"
"t99","0"
"t100","0"
"t94","1"
"t89","0"
"t28","0"
"t97","0"
"t98","1"
"t36","1"
"t95","1"
"t96","1"
"t58","1"
"t59","1"
"t57","1"
"t37","1"
"t38","1"
"t45","1"
"t46","1"
"t24","1"
"t55","1"
"t56","0"
"t41","0"
"t8","0"
"t92","1"
"t93","0"
"t78","0"
"t81","0"
"t82","1"
"t63","0"
"t17","0"
"t26",NA
"t27","0"
"t31","0"
"t32","0"
"t76","1"
"t77","1"
"t33","0"
"t49","0"
"t69","0"
"t70","1"
"t34","1"
"t35","0"
"t4","1"
"t21","0"
"t22",NA
"t23","1"
"t16","0"
"t85",NA
"t86","1"
"t10","1"
"t83","1"
"t84","1"
"t66",NA
"t15","0"
"t48","0"
"t61","0"
"t62","0"
"t5","0"
"t1","0"
"t44","0"
"t74",NA
"t75","0"
"t54","0"
"t12","0"
"t13","0"
"t29","1"
"t30","0"
"t79","0"
"t80","0"
"t71","1"
"t14",NA
"t42","0"
"t43","1"
"t20",NA
"t3","0"
"t72","1"
"t73","0"
"t2","0"
"t53",NA
"t87","0"
"t88","0"
"t90","1"
"t91","1"
"t60","0"
"t64","1"
"t65","1"
"t52","1"
"t47","1"
"t67","1"
"t68","1"
